Flow Duration,Flow Bytes/s,Flow Packets/s,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packets/s,SYN Flag Count,ACK Flag Count,Init_Win_bytes_forward,act_data_pkt_fwd,Label
2.0467119216918945,644.9368794944209,9.77177090143062,20,1320,9.77177090143062,0,20,53248,0,ATTACK
3.880321979522705,187.09787585444155,2.834816300824872,11,726,2.834816300824872,0,11,53248,0,ATTACK
4.629775047302246,307.1423525919676,4.53585752772948,21,1422,4.53585752772948,0,21,53248,0,ATTACK
3.053581953048706,56.98225974458549,0.9824527542169912,3,174,0.9824527542169912,3,3,65535,0,ATTACK
4.107434511184692,708.958351513705,5.843063336651414,24,2912,5.843063336651414,0,24,547,24,ATTACK
4.997573614120483,8452.101612000719,140.868360200012,704,42240,140.868360200012,704,0,512,704,ATTACK
0.045358657836914,10053.20751860729,176.3720617299525,8,456,176.3720617299525,0,0,0,4,ATTACK
4.322918891906738,198.47700626683655,3.0072273676793424,13,858,3.0072273676793424,0,13,53248,0,ATTACK
3.799983978271485,277.8959085191584,4.210544068472097,16,1056,4.210544068472097,0,16,53248,0,ATTACK
0.3056795597076416,647.7371276946727,9.81419890446474,3,198,9.81419890446474,0,3,53248,0,ATTACK
3.0783705711364746,56.52340937490271,0.9745415409465984,3,174,0.9745415409465984,3,3,65535,0,ATTACK
4.817469358444214,1315.2133472097871,19.927474957724048,96,6336,19.927474957724048,0,96,53248,0,ATTACK
4.933601140975952,603452.1062663489,20.471861651146863,101,2977192,20.471861651146863,23,78,502,101,ATTACK
4.095728635787964,283.7102023426527,4.15066561086497,17,1162,4.15066561086497,1,17,65535,0,ATTACK
3.0526909828186035,56.99889080792014,0.9827394966882784,3,174,0.9827394966882784,3,3,65535,0,ATTACK
4.853699684143066,163702.75289091817,58.10000996173867,282,794564,58.10000996173867,248,34,512,282,ATTACK
2.9957783222198486,286.4030337746181,4.339439905676032,13,858,4.339439905676032,0,13,53248,0,ATTACK
3.0674822330474854,258.1922044950732,3.9120030984102,12,792,3.9120030984102,0,12,53248,0,ATTACK
4.836353063583374,414.3618080924776,6.203021079228706,30,2004,6.203021079228706,0,30,53248,0,ATTACK
4.219934463500977,205.2164571488492,3.080616562280646,13,866,3.080616562280646,1,13,65535,0,ATTACK
4.996740579605103,4202.739699097937,70.04566165163229,350,21000,70.04566165163229,350,0,512,350,ATTACK
4.176332473754883,318.9401247076522,4.78889076137616,20,1332,4.78889076137616,0,20,53248,0,ATTACK
4.707356452941895,336.4945943301295,5.098402944395901,24,1584,5.098402944395901,0,24,53248,0,ATTACK
3.171926259994507,228.88300057809585,3.4679242511832697,11,726,3.4679242511832697,0,11,53248,0,ATTACK
4.6023266315460205,186.4274460919301,2.824658274120153,13,858,2.824658274120153,0,13,53248,0,ATTACK
4.306020975112915,249.88266574149335,3.71572737162072,16,1076,3.71572737162072,0,16,53248,0,ATTACK
4.749223470687866,236.24914829234007,3.579532549883941,17,1122,3.579532549883941,0,17,53248,0,ATTACK
2.5845425128936768,157724.6255251557,38.69156707661934,100,407646,38.69156707661934,0,100,502,97,ATTACK
0.4537396430969238,454.0048530782577,6.6117211613338505,3,206,6.6117211613338505,1,3,65535,0,ATTACK
4.69974684715271,266.82288233455,4.042770944462879,19,1254,4.042770944462879,0,19,53248,0,ATTACK
4.342381000518799,1454.962150775155,12.205285531985313,53,6318,12.205285531985313,0,53,547,53,ATTACK
4.38152003288269,391.64490567694816,5.934013722378002,26,1716,5.934013722378002,0,26,53248,0,ATTACK
3.0627925395965576,239.65057721365784,3.5914936639648998,11,734,3.5914936639648998,1,11,65535,0,ATTACK
4.503287076950073,205.183454710108,3.108840222880424,14,924,3.108840222880424,0,14,53248,0,ATTACK
4.358201503753662,275.3429365224292,4.1301440478364375,18,1200,4.1301440478364375,0,18,53248,0,ATTACK
2.028799057006836,58537.58635673491,47.31863398124427,96,118761,47.31863398124427,20,76,64240,39,ATTACK
0.5735368728637695,7009.139586662388,116.8189931110398,67,4020,116.8189931110398,67,0,512,67,ATTACK
4.713972568511963,420.0279002949347,6.364059095377798,30,1980,6.364059095377798,0,30,53248,0,ATTACK
4.432601690292358,208.4554545073632,3.158415977384291,14,924,3.158415977384291,0,14,53248,0,ATTACK
4.989166498184204,47654.85378901095,87.38934652886033,436,237758,87.38934652886033,427,9,502,436,ATTACK
